
mutation {
  sequentialStepName: "Kurs veröffentlichen",
  type: "SEQUENTIAL",
  title: "Kurs erfolgreich beendet",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "This is not in use",
  description: "This is not in use",
  achievedDescription: null,
  image: "course-image",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_offer_course > 0",
  conditionDataAggregations: "{\"student_offer_course\":{\"metric\":\"student_offer_course\",\"aggregator\":\"count\"}}",
})
      

student_course_participation_2: achievementTemplateCreate(data:{
  templateFor: "Course",
  group: "student_course_participation",
  groupOrder: 2,
  sequentialStepName: "Alle Kurs-Termine abschließen",
  type: "SEQUENTIAL",
  title: "Kurs erfolgreich beendet",
  tagline: "{{course.name}}",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  achievedFooter: "Wow! Du hast den Kurs abgeschlossen.",
  description: "Du erhältst diesen Erfolg sobald alle Termine deines Kurses \"{{course.name}}\" beendet wurden. Kontinuierliche Termine ermöglichen den Schüler:innen nicht nur, das Beste aus dem Kurs herauszuholen, sondern stärken auch ihre Lernfortschritte und das Verständnis der Kursinhalte.",
  achievedDescription: "Herzlichen Glückwunsch zum erfolgreichen Abschluss des letzten Termins deines Kurses {{course.name}}! Wir hoffen, die Kursleitung hat dir viel Freude bereitet und dass die Schüler:innen viel mitnehmen konnten. Dein Feedback ist uns sehr wichtig – wir freuen uns darauf, von deinen Erfahrungen zu hören! ",
  image: "course-image",
  achievedImage: null,
  actionName: "Zu den Terminen",
  actionRedirectLink: "/single-course/{{subcourse.id}}",
  actionType: "Appointment",
  condition: "student_conducted_subcourse_appointment > 0",
  conditionDataAggregations: "{\"student_conducted_subcourse_appointment\":{\"metric\":\"student_conducted_subcourse_appointment\",\"aggregator\":\"at_least_one_event_per_bucket\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

student_match_regular_learning_1: achievementTemplateCreate(data:{
  templateFor: "Match",
  group: "student_match_regular_learning",
  groupOrder: 1,
  sequentialStepName: null,
  type: "STREAK",
  title: "Rhythmus-Rekord",
  tagline: "Nachhilfe mit {{partner.firstname}}",
  subtitle: "Du hast {{progress}} Woche(n) in Folge mit {{partner.firstname}} gelernt!",
  footer: "Noch {{remainingProgress}} Woche(n) in Folge lernen bis zum neuen Rekord!",
  achievedFooter: "Hurra, du erhöhst deinen Rekord weiter!",
  description: "Um diese Serie aufrechtzuerhalten, setze deine gemeinsamen Lernsessions mit {{partner.firstname}} weiter fort. Regelmäßiges Lernen bringt eine Fülle an Vorteilen mit sich, von verbessertem Wissen und Verständnis bis hin zu gesteigerter Effizienz und Selbstvertrauen. Ihr seid definitiv auf dem richtigen Weg, um eure Ziele zu erreichen!",
  achievedDescription: null,
  image: "gamification/achievements/release/streaks/regular_learning_set.png",
  achievedImage: "gamification/achievements/release/streaks/regular_learning_achieved.png",
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_match_learning_events > recordValue",
  conditionDataAggregations: "{\"student_match_learning_events\":{\"metric\":\"student_match_learned_regular\",\"aggregator\":\"last_streak_length\",\"createBuckets\":\"by_weeks\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

student_appointment_reliability_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "student_appointment_reliability",
  groupOrder: 1,
  sequentialStepName: null,
  type: "STREAK",
  title: "Pünktlichkeits-Power",
  tagline: "Zur richtigen Uhrzeit",
  subtitle: "Du warst {{progress}} Termine(n) in Folge pünktlich!",
  footer: "Noch {{remainingProgress}} mal pünktlich sein bis zum neuen Rekord!",
  achievedFooter: "Hurra, du erhöhst deinen Rekord weiter!",
  description: "Halte diesen tollen Trend aufrecht und baue ihn weiter aus. Jedes Mal, wenn du innerhalb der ersten 5 Minuten zum Termin erscheinst, steigt deine Erfolgsstreak. Mit deiner Pünktlichkeit wie ein Uhrwerk bist du auf dem besten Weg zum:r Pünktlichkeits-Meister:in. Weiter so, du bist auf dem richtigen Kurs!",
  achievedDescription: null,
  image: "gamification/achievements/release/streaks/punctuality_set.png",
  achievedImage: "gamification/achievements/release/streaks/punctuality_achieved.png",
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_participated_in_meeting > recordValue",
  conditionDataAggregations: "{\"student_participated_in_meeting\":{\"metric\":\"student_participated_in_meeting\",\"aggregator\":\"last_streak_length\",\"createBuckets\":\"by_lecture_start\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

student_regular_learning_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "student_regular_learning",
  groupOrder: 1,
  sequentialStepName: null,
  type: "STREAK",
  title: "Login-Legende",
  tagline: "User-Bereich",
  subtitle: "Du hast dich {{progress}} Monat(e) in Folge angemeldet!",
  footer: "Noch {{remainingProgress}} Monat(e) mit Login bis zum neuen Rekord!",
  achievedFooter: "Hurra, du erhöhst deinen Rekord weiter!",
  description: "Bleib dran und melde dich weiterhin jeden Monat auf unserer Plattform an, um deinen Streak zu verlängern. Regelmäßige Aktivität hilft dir dabei immer auf dem neuesten Stand zu bleiben. Du bist auf dem richtigen Weg – mach weiter so, du Anmelde-Champion!",
  achievedDescription: null,
  image: "gamification/achievements/release/streaks/member_set.png",
  achievedImage: "gamification/achievements/release/streaks/member_achieved.png",
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "student_regular_learning > recordValue",
  conditionDataAggregations: "{\"student_regular_learning\":{\"metric\":\"student_regular_learning\",\"aggregator\":\"last_streak_length\",\"createBuckets\":\"by_months\",\"bucketAggregator\":\"presence_of_events\"}}",
})
      

pupil_onboarding_1: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "pupil_onboarding",
  groupOrder: 1,
  sequentialStepName: "E-Mail verifizieren",
  type: "SEQUENTIAL",
  title: "Onboarding",
  tagline: "Willkommen bei Lern-Fair 👋",
  subtitle: null,
  footer: null,
  achievedFooter: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  description: "Hurra! Am {{date}} haben wir eine E-Mail an deine Adresse {{email}} gesendet. Um deine E-Mail zu bestätigen, klicke einfach auf den Button in der Nachricht. Solltest du unsere E-Mail nicht finden, kannst du hier eine erneute Zustellung anfordern und voller Vorfreude auf unser Weiterkommen warten.",
  achievedDescription: null,
  image: "gamification/achievements/release/finish_onboarding/two_pieces/empty_state.png",
  achievedImage: null,
  actionName: "E-Mail verifizieren",
  actionRedirectLink: null,
  actionType: "Action",
  condition: "pupil_verified_events > 0",
  conditionDataAggregations: "{\"pupil_verified_events\":{\"metric\":\"pupil_onboarding_verified\",\"aggregator\":\"count\"}}",
})
      

pupil_onboarding_2: achievementTemplateCreate(data:{
  templateFor: "Global",
  group: "pupil_onboarding",
  groupOrder: 2,
  sequentialStepName: "Kennenlerngespräch absolvieren",
  type: "SEQUENTIAL",
  title: "Onboarding",
  tagline: "Willkommen bei Lern-Fair 👋",
  subtitle: null,
  footer: null,
  achievedFooter: "{{progress}} von {{maxValue}} Schritten abgeschlossen",
  description: "Wir sind gespannt darauf, dich kennenzulernen! In einem kurzen, 15-minütigen Zoom-Gespräch möchten wir dir gerne unsere vielfältigen kostenlose Angebote vorstellen und dir die beste Unterstützung ermöglichen sowie alle deine Fragen beantworten. Buche einfach einen Termin, um mehr zu erfahren und dann voller Tatendrang direkt durchzustarten. Falls dir etwas dazwischen kommt, sage den Termin bitte ab und buche dir einen neuen.",
  achievedDescription: "Herzlichen Glückwunsch! Du hast alle Onboarding-Schritte erfolgreich gemeistert und dir das Abflugticket für Loki gesichert. Wir sind begeistert, dass du nun Teil unserer Lerncommunity bist und hoffen dich gut auf deiner Lernreise begleiten zu können. Loki und unser Team werden immer für dich da sein!",
  image: "gamification/achievements/release/finish_onboarding/two_pieces/step_1.png",
  achievedImage: "gamification/achievements/release/finish_onboarding/two_pieces/step_2.png",
  actionName: "Termin buchen",
  actionRedirectLink: "https://calendly.com/schueler-screening/willkommen-bei-lern-fair?email={{email}}",
  actionType: "Action",
  condition: "pupil_screened_events > 0",
  conditionDataAggregations: "{\"pupil_screened_events\":{\"metric\":\"pupil_onboarding_screened\",\"aggregator\":\"count\"}}",
})
      

pupil_conduct_match_appointment_1: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 1,
  sequentialStepName: null,
  type: "TIERED",
  title: "1 durchgeführter Termin",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du einen Nachhilfe-Termin erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Super! Du hattest deinen ersten Termin in der Lernunterstützung. Bleib am Ball und setze deine Lernreise motiviert fort. Genau wie unsere Eule Loki noch eine lange Reise vor sich hat, gibt es auch für dich noch vieles zu lernen. Wir hoffen, dass du beim Lernen genauso viel Spaß haben wirst wie Loki beim Paddeln.",
  image: "gamification/achievements/release/x_lectures_held/one_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 0",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":1}}",
})
      

pupil_conduct_match_appointment_2: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 2,
  sequentialStepName: null,
  type: "TIERED",
  title: "3 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du drei Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Prima! Du hast nun schon drei Termine in der Lernunterstützung gehabt. Schön, dass du deine Lernreise so fleißig startest. Lokis Reise führt heute vorbei an einem schönen, blühenden Kirschbaum. Auch der Baum hat einmal klein angefangen. Genauso wie der Baum gewachsen ist, wächst auch dein Wissen mit jedem Termin in der Lernunterstützung. Also mach weiter so!",
  image: "gamification/achievements/release/x_lectures_held/three_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 2",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":3}}",
})
      

pupil_conduct_match_appointment_3: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 3,
  sequentialStepName: null,
  type: "TIERED",
  title: "5 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du fünf Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Klasse! Fünf Termine in der Lernunterstützung hast du schon geschafft. Damit bist du auf deiner Lernreise schon weit gekommen. Loki schützt sich auf der Reise vor der Kälte in einem Iglu, das aus Eis gebaut wurde. Baue auch du weiter an deinem Wissensschatz, indem du weitere Termine in der Lernunterstützung machst. Tolle Arbeit, mach weiter!",
  image: "gamification/achievements/release/x_lectures_held/five_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 4",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":5}}",
})
      

pupil_conduct_match_appointment_4: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 4,
  sequentialStepName: null,
  type: "TIERED",
  title: "10 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du zehn Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Beeindruckend! Nun hast du schon zehn Termine in der Lernunterstützung wahrgenommen und setzt deine Lernreise immer weiter fort. Loki befindet sich aktuell in der Wüste und ist beeindruckt von den unendlichen Weiten. Ähnlich wie in einer Wüste gibt es beim Lernen immer neue Möglichkeiten, weiter zu gehen. Und mit jedem Termin in der Lernunterstützung kannst du Neues entdecken und dein Wissen erweitern. Bleib dran!",
  image: "gamification/achievements/release/x_lectures_held/ten_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 9",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":10}}",
})
      

pupil_conduct_match_appointment_5: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 5,
  sequentialStepName: null,
  type: "TIERED",
  title: "15 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 15 Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Absolut großartig! 15-mal hast du nun schon in der Lernunterstützung gelernt. Genau wie die Heißluftballons, die Loki auf der Reise entdeckt hat, steigt dein Wissen durch Lernen. Jedes Mal, wenn du gemeinsam mit deinem:r Lernpartner:in lernst, füllt sich der Ballon deines Wissens mit heißer Luft und hebt ab in neue Höhen. Je mehr Wissen angesammelt wird, desto höher steigt der Ballon und desto mehr kannst du in der Ferne entdecken. Bleib dabei und flieg weiter mit Loki!",
  image: "gamification/achievements/release/x_lectures_held/fifteen_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 14",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":15}}",
})
      

pupil_conduct_match_appointment_6: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 6,
  sequentialStepName: null,
  type: "TIERED",
  title: "25 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 25 Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Wow! Unglaubliche 25 Termine in der Lernunterstützung liegen jetzt schon hinter dir. Das ist wirklich beeindruckend und ein guter Zeitpunkt, um auf deine bisherige Lernreise zurückzublicken. Du kannst dir gemeinsam mit Loki die Nordlichter auf dem Bild anschauen und daran denken, was du schon alles gemeinsam mit deiner:m Lernpartner:in erreicht hast. Gut gemacht, mach weiter so!",
  image: "gamification/achievements/release/x_lectures_held/twentyfive_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 24",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":25}}",
})
      

pupil_conduct_match_appointment_7: achievementTemplateCreate(data:{
  templateFor: "Global_Matches",
  group: "pupil_conduct_match_appointment",
  groupOrder: 7,
  sequentialStepName: null,
  type: "TIERED",
  title: "50 durchgeführte Termine",
  tagline: "1:1-Nachhilfe",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 50 Nachhilfe-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin euch die Lernreise als Nächstes führt.",
  achievedDescription: "Unglaublich! Du hast dich schon 50-mal mit deinem:r Lernpartner:in getroffen. Dabei habt ihr gemeinsam schon viel geschafft. Loki trifft sich gerade mit Freunden zu einem Picknick am Strand, wo sie sich daran erinnern, was sie bereits zusammen erlebt haben und die nächste Station ihrer Reise planen. Was wird die nächste Station eurer gemeinsamen Lernreise sein?",
  image: "gamification/achievements/release/x_lectures_held/fifty_lectures_held.png",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_match_appointments_count > 49",
  conditionDataAggregations: "{\"pupil_match_appointments_count\":{\"metric\":\"pupil_conducted_match_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":50}}",
})
      

pupil_conduct_course_appointment_1: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 1,
  sequentialStepName: null,
  type: "TIERED",
  title: "1 durchgeführter Termin",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du einen Kurs-Termin erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Fantastisch! Du hast heute an deinem ersten Termin in einem Gruppenkurs teilgenommen. Wir hoffen, dass du viel gelernt hast und dass dieser Termin dich auf deiner Lernreise vorangebracht hat. Gemeinsam mit den anderen Teilnehmer:innen kann euch euer neu gewonnenes Wissen zu neuen Horizonten führen. Auch unsere Eule Loki geht gemeinsam mit Freunden auf Reisen. Lass uns gemeinsam fliegen und die Welt des Wissens erkunden!",
  image: "gamification/achievements/release/x_group_lectures_held/one_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_count > 0",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":1}}",
})
      

pupil_conduct_course_appointment_2: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 2,
  sequentialStepName: null,
  type: "TIERED",
  title: "3 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du drei Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Wunderbar! Du hast an drei Terminen eines Gruppenkurses teilgenommen. Damit bist du und die anderen Teilnehmer:innen auf eurer gemeinsamen Lernreise schon weit gekommen. Loki reist gerade mit seinen Freunden in einem Auto. Wir sind gespannt, wo Lokis Reise hinführt und welche Stationen die nächsten auf eurer Lernreise sein werden. Weiter geht’s!",
  image: "gamification/achievements/release/x_group_lectures_held/three_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_coun > 2",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":3}}",
})
      

pupil_conduct_course_appointment_3: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 3,
  sequentialStepName: null,
  type: "TIERED",
  title: "5 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du fünf Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Super! Du hast schon fünf Termine eines Gruppenkurses besucht. Wir hoffen, dass du eine spannende Lernreise hast und dabei viel Neues entdeckst. Loki hat auf der Reise ein neues Fortbewegungsmittel für sich entdeckt und paddelt nun gemeinsam mit Freunden in einem kleinen Boot, auch Gondel genannt, über Wasserkanäle. Bleib neugierig und erlebe neue Lern-Abenteuer!",
  image: "gamification/achievements/release/x_group_lectures_held/five_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_count > 4",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":5}}",
})
      

pupil_conduct_course_appointment_4: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 4,
  sequentialStepName: null,
  type: "TIERED",
  title: "10 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du zehn Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Klasse! Zehn Kurstermine in Gruppenkursen liegen hinter dir und den anderen Kursteilnehmer:innen. Dabei habt ihr bestimmt viel Neues gelernt und entdeckt. Loki macht auf der Reise gerade Halt in einer großen Stadt. Hier ist sehr viel los. Deshalb gibt es immer etwas zu beobachten und zu lernen für Loki. Was schaust du dir als nächstes an?",
  image: "gamification/achievements/release/x_group_lectures_held/ten_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_count > 9",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":10}}",
})
      

pupil_conduct_course_appointment_5: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 5,
  sequentialStepName: null,
  type: "TIERED",
  title: "15 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 15 Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Großartig! In den vergangenen 15 Gruppenkursterminen haben du und die anderen Kursteilnehmer:innen viel neues Wissen aufgebaut. Das ist mindestens genauso toll wie die Sandburgen, die Loki auf der Reise mit Freunden am Strand gebaut hat. Ihr könnt sehr zufrieden sein mit dem, was ihr bisher erreicht habt. Macht weiter so!",
  image: "gamification/achievements/release/x_group_lectures_held/fifteen_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_count > 14",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":15}}",
})
      

pupil_conduct_course_appointment_6: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 6,
  sequentialStepName: null,
  type: "TIERED",
  title: "25 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 25 Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
  achievedDescription: "Wow! Beeindruckende 25 Gruppenkurstermine liegen nun hinter dir. Wir sind uns sicher, dass du und die anderen Kursteilnehmer:innen dabei sehr viel gelernt und erlebt habt. Das ist ein guter Zeitpunkt, um sich daran zu erinnern. Auch Loki schaut auf viele tolle Erlebnisse während der Reise zurück und fliegt mit den Freunden weiter. Besuche weitere Kurstermine und fliege auch du gemeinsam mit anderen Teilnehmer:innen weiter!",
  image: "gamification/achievements/release/x_group_lectures_held/twentyfive_group_lectures_held.jpg",
  achievedImage: null,
  actionName: null,
  actionRedirectLink: null,
  actionType: null,
  condition: "pupil_course_appointments_count > 24",
  conditionDataAggregations: "{\"pupil_course_appointments_count\":{\"metric\":\"pupil_conducted_subcourse_appointment\",\"aggregator\":\"count\",\"createBuckets\":\"by_lecture_participation\",\"bucketAggregator\":\"presence_of_events\",\"valueToAchieve\":25}}",
})
      

pupil_conduct_course_appointment_7: achievementTemplateCreate(data:{
  templateFor: "Global_Courses",
  group: "pupil_conduct_course_appointment",
  groupOrder: 7,
  sequentialStepName: null,
  type: "TIERED",
  title: "50 durchgeführte Termine",
  tagline: "Gruppenkurse",
  subtitle: null,
  footer: "{{progress}} von {{maxValue}} Terminen abgeschlossen",
  achievedFooter: "Wow! Du hast alle Termine abgeschlossen.",
  description: "Sobald du 50 Kurs-Termine erfolgreich durchgeführt hast, geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab, um zu sehen wohin dich die Reise als Nächstes führt.",
