templateFor,type,group,step,role,title,tagline,subtitle,actionType,actionName,linkTo,description,achievedDescription,footer,sequentialStepName,achievedFooter,image name,imageLink,achievedImage,condition,conditionDataAggr
Global,Streak,student_appointment_reliability,1,student,Pünktlichkeits-Power,Zur richtigen Uhrzeit,Du warst {{progress}} Termine(n) in Folge pünktlich!,None,,,Halte diesen tollen Trend aufrecht und baue ihn weiter aus. Jedes Mal; wenn du innerhalb der ersten 5 Minuten zum Termin erscheinst; steigt deine Erfolgsstreak. Mit deiner Pünktlichkeit wie ein Uhrwerk bist du auf dem besten Weg zum:r Pünktlichkeits-Meister:in. Weiter so; du bist auf dem richtigen Kurs!,,Noch {{remainingProgress}} mal pünktlich sein bis zum neuen Rekord!,,Hurra; du erhöhst deinen Rekord weiter!,Hexagon (blau),gamification/achievements/release/streaks/punctuality_set.png,gamification/achievements/release/streaks/punctuality_achieved.png,student_participated_in_meeting > recordValue,"{""student_participated_in_meeting"":{""metric"":""student_participated_in_meeting"";""aggregator"":""last_streak_length"";""createBuckets"":""by_lecture_start"";""bucketAggregator"":""presence_of_events""}}"
Global,Streak,student_regular_learning,1,student,Login-Legende,User-Bereich,Du hast dich {{progress}} Monat(e) in Folge angemeldet!,None,,,Bleib dran und melde dich weiterhin jeden Monat auf unserer Plattform an; um deinen Streak zu verlängern. Regelmäßige Aktivität hilft dir dabei immer auf dem neuesten Stand zu bleiben. Du bist auf dem richtigen Weg – mach weiter so; du Anmelde-Champion!,,Noch {{remainingProgress}} Monat(e) mit Login bis zum neuen Rekord!,,Hurra; du erhöhst deinen Rekord weiter!,Eule,gamification/achievements/release/streaks/member_set.png,gamification/achievements/release/streaks/member_achieved.png,student_regular_learning > recordValue,"{""student_regular_learning"":{""metric"":""student_regular_learning"";""aggregator"":""last_streak_length"";""createBuckets"":""by_months"";""bucketAggregator"":""presence_of_events""}}"
Global,Sequential,pupil_onboarding,1,pupil,Onboarding,Willkommen bei Lern-Fair 👋,,Action,E-Mail verifizieren,,Hurra! Am {{date}} haben wir eine E-Mail an deine Adresse {{email}} gesendet. Um deine E-Mail zu bestätigen; klicke einfach auf den Button in der Nachricht. Solltest du unsere E-Mail nicht finden; kannst du hier eine erneute Zustellung anfordern und voller Vorfreude auf unser Weiterkommen warten.,,,E-Mail verifizieren,{{progress}} von {{maxValue}} Schritten abgeschlossen,Flugticket,gamification/achievements/release/finish_onboarding/two_pieces/empty_state.png,,pupil_verified_events > 0,"{""pupil_verified_events"":{""metric"":""pupil_onboarding_verified"";""aggregator"":""count""}}"
Global,Sequential,pupil_onboarding,2,pupil,Onboarding,Willkommen bei Lern-Fair 👋,,Action,Termin buchen,https://calendly.com/schueler-screening/willkommen-bei-lern-fair?email={{email}},Wir sind gespannt darauf; dich kennenzulernen! In einem kurzen; 15-minütigen Zoom-Gespräch möchten wir dir gerne unsere vielfältigen kostenlose Angebote vorstellen und dir die beste Unterstützung ermöglichen sowie alle deine Fragen beantworten. Buche einfach einen Termin; um mehr zu erfahren und dann voller Tatendrang direkt durchzustarten. Falls dir etwas dazwischen kommt; sage den Termin bitte ab und buche dir einen neuen.,Herzlichen Glückwunsch! Du hast alle Onboarding-Schritte erfolgreich gemeistert und dir das Abflugticket für Loki gesichert. Wir sind begeistert; dass du nun Teil unserer Lerncommunity bist und hoffen dich gut auf deiner Lernreise begleiten zu können. Loki und unser Team werden immer für dich da sein!,,Kennenlerngespräch absolvieren,{{progress}} von {{maxValue}} Schritten abgeschlossen,,gamification/achievements/release/finish_onboarding/two_pieces/step_1.png,gamification/achievements/release/finish_onboarding/two_pieces/step_2.png,pupil_screened_events > 0,"{""pupil_screened_events"":{""metric"":""pupil_onboarding_screened"";""aggregator"":""count""}}"
Match,Sequential,,1,pupil,Neues Lernunterstützung,Starte eine Lernpatenschaft,,Action,Anfrage stellen,/request-match,Damit wir dir den:die perfekte:n Lernpartner:in zuweisen können; musst du zunächst eine Anfrage auf unserer Plattform stellen. Dort kannst du ganz einfach die Fächer angeben; die für dich wichtig sind und in denen wir dir helfen können. Wir freuen uns darauf; mit dir gemeinsam durchzustarten und die Lernreise zu beginnen!,,,Anfrage stellen,,Rucksack,gamification/achievements/release/new_match/five_pieces/empty_state.png,,,
Match,Sequential,,2,pupil,Neue Lernunterstützung,Starte eine Lernpatenschaft,,Action,Termin buchen,Calendly SuS Zweitgespräch,Fantastisch; deine Anfrage ist eingegangen! Bevor wir dir deine:n ideale:n Lernpartner:in vermitteln können; möchten wir gerne kurz per Zoom mit dir sprechen. Unser Ziel ist es; die perfekte Person für dich zu finden und genau zu verstehen; was du dir wünschst. Buche doch gleich einen Termin für unser Gespräch – wir sind schon ganz gespannt auf dich!,,,Gespräch mit Lern-Fair absolvieren,,Rucksack,gamification/achievements/release/new_match/five_pieces/step_1.png,,,
Match,Sequential,pupil_new_match,3,pupil,Neue Lernunterstützung,Starte eine Lernpatenschaft,,Wait,Lernpartner:in erhalten,,Wir sind mit vollem Engagement dabei; den:die ideale:n Lernpartner:in für dich zu finden. Sobald wir jemanden entdeckt haben; der:die perfekt zu deinen angegebenen Fächern passt; senden wir dir direkt eine E-Mail. Dieser Prozess dauert in der Regel nur ein bis vier Wochen und hängt davon ab; wie viele Lernpartner:innen derzeit für deine Fächer verfügbar sind. Deine Anfrage wurde am {{date}} gestellt – freue dich schon jetzt auf das kommende Lernabenteuer!,,,Lernpartner:in erhalten,,Rucksack,gamification/achievements/release/new_match/five_pieces/step_2.png,,pupil_match_create > 0,"{""pupil_match_create"":{""metric"":""pupil_match_create"";""aggregator"":""count""}}"
Match,Sequential,pupil_new_match,4,pupil,Neue Lernunterstützung,{{student.firstname}},,Action,{{student.firstname}} kontaktieren,/chat,Hurra; wir haben eine:n Lernpartner:in für dich gefunden! 🎉 {{student.firstname}} ist super motiviert; dir in {{matchSubjects}} unter die Arme zu greifen. Um möglichst schnell mit {{student.firstname}} loszulegen; kontaktieren {{student.firstname}} über den Chat und schlage einen Termin für ein erstes Gespräch vor. {{student.firstname}} kann es kaum erwarten; dich kennenzulernen und gemeinsam mit dir durchzustarten!,,,Lernpartner:in kontaktieren,,Rucksack,gamification/achievements/release/new_match/five_pieces/step_3.png,,pupil_create_new_match_chat > 0,"{""pupil_create_new_match_chat"":{""metric"":""pupil_create_new_match_chat"";""aggregator"":""count""}}"
Match,Sequential,pupil_new_match,5,pupil,Neue Lernunterstützung,{{student.firstname}},,Appointment,Zum Match,/match/{{match.id}},/match/{{match.id}},Herzlichen Glückwunsch zu deinem erfolgreichen ersten Termin in der Lernunterstützung mit {{name}}! Möge diese Begegnung der Beginn einer spannenden und produktiven Lernreise sein. Wir sind sicher; dass eure Zusammenarbeit von Freude und Erfolg geprägt sein wird. Auf eine inspirierende Zeit des gemeinsamen Lernens!,,Erstes Gespräch absolvieren,Wow! Du hast alle Schritte abgeschlossen.,Rucksack,gamification/achievements/release/new_match/five_pieces/step_4.png,gamification/achievements/release/new_match/five_pieces/step_5.png,pupil_conducted_match_appointment > 0,"{""pupil_conducted_match_appointment"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count""}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,1,pupil,1 durchgeführter Termin,1:1-Nachhilfe,,None,,,Sobald du einen Nachhilfe-Termin erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Super! Du hattest deinen ersten Termin in der Lernunterstützung. Bleib am Ball und setze deine Lernreise motiviert fort. Genau wie unsere Eule Loki noch eine lange Reise vor sich hat; gibt es auch für dich noch vieles zu lernen. Wir hoffen; dass du beim Lernen genauso viel Spaß haben wirst wie Loki beim Paddeln.,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Fluss,gamification/achievements/release/x_lectures_held/one_lectures_held.jpg,,pupil_match_appointments_count > 0,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":1}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,2,pupil,3 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du drei Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Prima! Du hast nun schon drei Termine in der Lernunterstützung gehabt. Schön; dass du deine Lernreise so fleißig startest. Lokis Reise führt heute vorbei an einem schönen; blühenden Kirschbaum. Auch der Baum hat einmal klein angefangen. Genauso wie der Baum gewachsen ist; wächst auch dein Wissen mit jedem Termin in der Lernunterstützung. Also mach weiter so!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Kirschblüte,gamification/achievements/release/x_lectures_held/three_lectures_held.jpg,,pupil_match_appointments_count > 2,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":3}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,3,pupil,5 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du fünf Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Klasse! Fünf Termine in der Lernunterstützung hast du schon geschafft. Damit bist du auf deiner Lernreise schon weit gekommen. Loki schützt sich auf der Reise vor der Kälte in einem Iglu; das aus Eis gebaut wurde. Baue auch du weiter an deinem Wissensschatz; indem du weitere Termine in der Lernunterstützung machst. Tolle Arbeit; mach weiter!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Iglu,gamification/achievements/release/x_lectures_held/five_lectures_held.jpg,,pupil_match_appointments_count > 4,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":5}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,4,pupil,10 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du zehn Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Beeindruckend! Nun hast du schon zehn Termine in der Lernunterstützung wahrgenommen und setzt deine Lernreise immer weiter fort. Loki befindet sich aktuell in der Wüste und ist beeindruckt von den unendlichen Weiten. Ähnlich wie in einer Wüste gibt es beim Lernen immer neue Möglichkeiten; weiter zu gehen. Und mit jedem Termin in der Lernunterstützung kannst du Neues entdecken und dein Wissen erweitern. Bleib dran!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Wüste,gamification/achievements/release/x_lectures_held/ten_lectures_held.jpg,,pupil_match_appointments_count > 9,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":10}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,5,pupil,15 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du 15 Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Absolut großartig! 15-mal hast du nun schon in der Lernunterstützung gelernt. Genau wie die Heißluftballons; die Loki auf der Reise entdeckt hat; steigt dein Wissen durch Lernen. Jedes Mal; wenn du gemeinsam mit deinem:r Lernpartner:in lernst; füllt sich der Ballon deines Wissens mit heißer Luft und hebt ab in neue Höhen. Je mehr Wissen angesammelt wird; desto höher steigt der Ballon und desto mehr kannst du in der Ferne entdecken. Bleib dabei und flieg weiter mit Loki!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Ballon,gamification/achievements/release/x_lectures_held/fifteen_lectures_held.jpg,,pupil_match_appointments_count > 14,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":15}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,6,pupil,25 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du 25 Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Wow! Unglaubliche 25 Termine in der Lernunterstützung liegen jetzt schon hinter dir. Das ist wirklich beeindruckend und ein guter Zeitpunkt; um auf deine bisherige Lernreise zurückzublicken. Du kannst dir gemeinsam mit Loki die Nordlichter auf dem Bild anschauen und daran denken; was du schon alles gemeinsam mit deiner:m Lernpartner:in erreicht hast. Gut gemacht; mach weiter so!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Nordlichter,gamification/achievements/release/x_lectures_held/twentyfive_lectures_held.jpg,,pupil_match_appointments_count > 24,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":25}}"
GlobalMatch,Tiered,pupil_conduct_match_appointment,7,pupil,50 durchgeführte Termine,1:1-Nachhilfe,,None,,,Sobald du 50 Nachhilfe-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin euch die Lernreise als Nächstes führt.,Unglaublich! Du hast dich schon 50-mal mit deinem:r Lernpartner:in getroffen. Dabei habt ihr gemeinsam schon viel geschafft. Loki trifft sich gerade mit Freunden zu einem Picknick am Strand; wo sie sich daran erinnern; was sie bereits zusammen erlebt haben und die nächste Station ihrer Reise planen. Was wird die nächste Station eurer gemeinsamen Lernreise sein?,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Strand-Picknick,gamification/achievements/release/x_lectures_held/fifty_lectures_held.png,,pupil_match_appointments_count > 49,"{""pupil_match_appointments_count"":{""metric"":""pupil_conducted_match_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":50}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,1,pupil,1 durchgeführter Termin,Gruppenkurse,,None,,,Sobald du einen Kurs-Termin erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Fantastisch! Du hast heute an deinem ersten Termin in einem Gruppenkurs teilgenommen. Wir hoffen; dass du viel gelernt hast und dass dieser Termin dich auf deiner Lernreise vorangebracht hat. Gemeinsam mit den anderen Teilnehmer:innen kann euch euer neu gewonnenes Wissen zu neuen Horizonten führen. Auch unsere Eule Loki geht gemeinsam mit Freunden auf Reisen. Lass uns gemeinsam fliegen und die Welt des Wissens erkunden!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Dschungel,gamification/achievements/release/x_group_lectures_held/one_group_lectures_held.jpg,,pupil_course_appointments_count > 0,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":1}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,2,pupil,3 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du drei Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Wunderbar! Du hast an drei Terminen eines Gruppenkurses teilgenommen. Damit bist du und die anderen Teilnehmer:innen auf eurer gemeinsamen Lernreise schon weit gekommen. Loki reist gerade mit seinen Freunden in einem Auto. Wir sind gespannt; wo Lokis Reise hinführt und welche Stationen die nächsten auf eurer Lernreise sein werden. Weiter geht’s!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Auto,gamification/achievements/release/x_group_lectures_held/three_group_lectures_held.jpg,,pupil_course_appointments_coun > 2,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":3}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,3,pupil,5 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du fünf Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Super! Du hast schon fünf Termine eines Gruppenkurses besucht. Wir hoffen; dass du eine spannende Lernreise hast und dabei viel Neues entdeckst. Loki hat auf der Reise ein neues Fortbewegungsmittel für sich entdeckt und paddelt nun gemeinsam mit Freunden in einem kleinen Boot; auch Gondel genannt; über Wasserkanäle. Bleib neugierig und erlebe neue Lern-Abenteuer!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Gondeln,gamification/achievements/release/x_group_lectures_held/five_group_lectures_held.jpg,,pupil_course_appointments_count > 4,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":5}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,4,pupil,10 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du zehn Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Klasse! Zehn Kurstermine in Gruppenkursen liegen hinter dir und den anderen Kursteilnehmer:innen. Dabei habt ihr bestimmt viel Neues gelernt und entdeckt. Loki macht auf der Reise gerade Halt in einer großen Stadt. Hier ist sehr viel los. Deshalb gibt es immer etwas zu beobachten und zu lernen für Loki. Was schaust du dir als nächstes an?,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Stadt,gamification/achievements/release/x_group_lectures_held/ten_group_lectures_held.jpg,,pupil_course_appointments_count > 9,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":10}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,5,pupil,15 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du 15 Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Großartig! In den vergangenen 15 Gruppenkursterminen haben du und die anderen Kursteilnehmer:innen viel neues Wissen aufgebaut. Das ist mindestens genauso toll wie die Sandburgen; die Loki auf der Reise mit Freunden am Strand gebaut hat. Ihr könnt sehr zufrieden sein mit dem; was ihr bisher erreicht habt. Macht weiter so!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Sandburg,gamification/achievements/release/x_group_lectures_held/fifteen_group_lectures_held.jpg,,pupil_course_appointments_count > 14,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":15}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,6,pupil,25 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du 25 Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Wow! Beeindruckende 25 Gruppenkurstermine liegen nun hinter dir. Wir sind uns sicher; dass du und die anderen Kursteilnehmer:innen dabei sehr viel gelernt und erlebt habt. Das ist ein guter Zeitpunkt; um sich daran zu erinnern. Auch Loki schaut auf viele tolle Erlebnisse während der Reise zurück und fliegt mit den Freunden weiter. Besuche weitere Kurstermine und fliege auch du gemeinsam mit anderen Teilnehmer:innen weiter!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Düsterwald,gamification/achievements/release/x_group_lectures_held/twentyfive_group_lectures_held.jpg,,pupil_course_appointments_count > 24,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":25}}"
GlobalCourse,Tiered,pupil_conduct_course_appointment,7,pupil,50 durchgeführte Termine,Gruppenkurse,,None,,,Sobald du 50 Kurs-Termine erfolgreich durchgeführt hast; geht die Reise mit unserer Eule Loki weiter. Bleib dran und schließe alle Termine ab; um zu sehen wohin dich die Reise als Nächstes führt.,Unglaublich! Du hast an 50 Gruppenkursterminen teilgenommen und gemeinsam mit den anderen Kursteilnehmer:innen viel gelernt. Du hast es dir verdient; dich einmal gedanklich auf einer Luftmatratze treiben zu lassen; so wie Loki auf dem Bild. Danach kannst du dich mit neuer Energie auf die Fortsetzung deiner Lernreise begeben. Auf zum nächsten Lern-Abenteuer!,{{progress}} von {{maxValue}} Terminen abgeschlossen,,Wow! Du hast alle Termine abgeschlossen.,Pool,gamification/achievements/release/x_group_lectures_held/fifty_group_lectures_held.jpg,,pupil_course_appointments_count > 49,"{""pupil_course_appointments_count"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""count"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events"";""valueToAchieve"":50}}"
Course,Sequential,pupil_course_participation,1,pupil,Kurs erfolgreich beendet,{{course.name}},,None,,,This is not in use,,{{progress}} von {{maxValue}} Schritten abgeschlossen,Zum Kurs anmelden,This is not in use,Kursbild,course-image,,pupil_course_joined > 0,"{""pupil_course_joined"":{""metric"":""pupil_course_joined"";""aggregator"":""count""}}"
Course,Sequential,pupil_course_participation,2,pupil,Kurs erfolgreich beendet,{{course.name}},,Appointment,Zu den Terminen,/single-course/{{subcourse.id}},Um diesen Erfolg zu erhalten; sei bei allen Terminen des Kurses {{course.name}} dabei. Die kontinuierliche Teilnahme ermöglicht dir nicht nur; das Beste aus dem Kurs herauszuholen; sondern stärkt auch deine Lernfortschritte und das Verständnis der Kursinhalte. Du bist auf dem richtigen Weg; bleib dran!,Herzlichen Glückwunsch zum erfolgreichen Abschluss des letzten Termins des Kurses {{course.name}}! Wir hoffen; dir hat der Kurs viel Freude bereitet und dass du etwas mitnehmen konntest. Dein Feedback ist uns sehr wichtig – wir freuen uns darauf; von deinen Erfahrungen zu hören! ,{{progress}} von {{maxValue}} Schritten abgeschlossen,Alle Kurs-Termine abschließen,Wow! Du hast den Kurs abgeschlossen.,Kursbild,course-image,,pupil_conducted_subcourse_appointment > 0,"{""pupil_conducted_subcourse_appointment"":{""metric"":""pupil_conducted_subcourse_appointment"";""aggregator"":""at_least_one_event_per_bucket"";""createBuckets"":""by_lecture_participation"";""bucketAggregator"":""presence_of_events""}}"
Match,Streak,pupil_match_regular_learning,1,pupil,Rhythmus-Rekord,Nachhilfe mit {{partner.firstname}},Du hast {{progress}} Woche(n) in Folge mit {{partner.firstname}} gelernt!,None,,,Um diese Serie aufrechtzuerhalten; setze deine gemeinsamen Lernsessions mit {{partner.firstname}} weiter fort. Regelmäßiges Lernen bringt eine Fülle an Vorteilen mit sich; von verbessertem Wissen und Verständnis bis hin zu gesteigerter Effizienz und Selbstvertrauen. Ihr seid definitiv auf dem richtigen Weg; um eure Ziele zu erreichen!,,Noch {{remainingProgress}} Woche(n) in Folge lernen bis zum neuen Rekord!,,Hurra; du erhöhst deinen Rekord weiter!,Puzzle,gamification/achievements/release/streaks/regular_learning_set.png,gamification/achievements/release/streaks/regular_learning_achieved.png,pupil_match_learning_events > recordValue,"{""pupil_match_learning_events"":{""metric"":""pupil_match_learned_regular"";""aggregator"":""last_streak_length"";""createBuckets"":""by_weeks"";""bucketAggregator"":""presence_of_events""}}"
Global,Streak,pupil_appointment_reliability,1,pupil,Pünktlichkeits-Power,Zur richtigen Uhrzeit,Du warst {{progress}} Termine(n) in Folge pünktlich!,None,,,Halte diesen tollen Trend aufrecht und baue ihn weiter aus. Jedes Mal; wenn du innerhalb der ersten 5 Minuten zum Termin erscheinst; steigt deine Erfolgsstreak. Mit deiner Pünktlichkeit wie ein Uhrwerk bist du auf dem besten Weg zum:r Pünktlichkeits-Meister:in. Weiter so; du bist auf dem richtigen Kurs!,,Noch {{remainingProgress}} mal pünktlich sein bis zum neuen Rekord!,,Hurra; du erhöhst deinen Rekord weiter!,Hexagon (blau),gamification/achievements/release/streaks/punctuality_set.png,gamification/achievements/release/streaks/punctuality_achieved.png,pupil_participated_in_meeting > recordValue,"{""pupil_participated_in_meeting"":{""metric"":""pupil_participated_in_meeting"";""aggregator"":""last_streak_length"";""createBuckets"":""by_lecture_start"";""bucketAggregator"":""presence_of_events""}}"
Global,Streak,pupil_regular_learning,1,pupil,Login-Legende,User-Bereich,Du hast dich {{progress}} Monat(e) in Folge angemeldet!,None,,,Bleib dran und melde dich weiterhin jeden Monat auf unserer Plattform an; um deinen Streak zu verlängern. Regelmäßige Aktivität hilft dir dabei immer auf dem neuesten Stand zu bleiben. Du bist auf dem richtigen Weg – mach weiter so; du Anmelde-Champion!,,Noch {{remainingProgress}} Monat(e) mit Login bis zum neuen Rekord!,,Hurra; du erhöhst deinen Rekord weiter!,Eule,gamification/achievements/release/streaks/member_set.png,gamification/achievements/release/streaks/member_achieved.png,pupil_regular_learning > recordValue,"{""pupil_regular_learning"":{""metric"":""pupil_regular_learning"";""aggregator"":""last_streak_length"";""createBuckets"":""by_months"";""bucketAggregator"":""presence_of_events""}}"
Global,Tiered,user_original_corona_school,1,pupil,Corona School Original,Von Anfang an,,None,,,Du bist ein wahrer Pionier in unserer Lern-Community. Du warst schon Teil von Lern-Fair als es noch den Namen Corona School hatte. Deine Ausdauer und Hingabe haben dich zu einem wertvollen Teil dieser Reise gemacht; und wir sind unglaublich stolz darauf; dich an unserer Seite zu wissen. Bleib dran; denn der Weg; den wir gemeinsam gehen; ist noch lange nicht zu Ende. Gemeinsam werden wir weiter lernen; wachsen und triumphieren. Auf zu neuen Höhen!,Du bist ein wahrer Pionier in unserer Lern-Community. Du warst schon Teil von Lern-Fair als es noch den Namen Corona School hatte. Deine Ausdauer und Hingabe haben dich zu einem wertvollen Teil dieser Reise gemacht; und wir sind unglaublich stolz darauf; dich an unserer Seite zu wissen. Bleib dran; denn der Weg; den wir gemeinsam gehen; ist noch lange nicht zu Ende. Gemeinsam werden wir weiter lernen; wachsen und triumphieren. Auf zu neuen Höhen!,Du hast den Erfolg abgeschlossen!,,,Virus,gamification/achievements/release/original/corona_school_original.svg,,user_original_corona_school > 0,"{""user_original_corona_school"":{""metric"":""user_original_corona_school"";""aggregator"":""count"";""valueToAchieve"":0}}"
